PLEXOS technology,WEO_tech,Object_type,Operating_class,Mapping to NREL cost data,Mapping to DEA data,Fuel,Cofiring1,Cofiring2,PerformanceVar,CHPtypeETP,CCStype,FUELsub,FUELsimp,VRE,InertiaLOW,InertiaHI,StorageDuration,Category,CategorySub,StackCategory,FUELgas,FDtech,Fuel4,Fuel5,VRE2,VRE3,CategoryWEO,FlexCategory,CapacityCategory,QuickStart,Type,ScaleCat,VREsepcats,ScaleCatCHP,ScaleCat2,CategoryCapacity,RegSplitCat,merge
Shift12h,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,12h,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Shift24h,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,24h,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Al,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,Al,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
EV,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,EV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
CO2,Emission,Emission,Excluded,#N/A,#N/A,#N/A,,,#N/A,Emissions,#N/A,#N/A,Emissions,Emissions,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Emissions,Emissions,Emissions,Emissions,#N/A,#N/A,#N/A,#N/A,CO2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
NOx,Emission,Emission,Excluded,#N/A,#N/A,#N/A,,,#N/A,Emissions,#N/A,#N/A,Emissions,Emissions,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Emissions,Emissions,Emissions,Emissions,#N/A,#N/A,#N/A,#N/A,NOx,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
PM,Emission,Emission,Excluded,#N/A,#N/A,#N/A,,,#N/A,Emissions,#N/A,#N/A,Emissions,Emissions,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Emissions,Emissions,Emissions,Emissions,#N/A,#N/A,#N/A,#N/A,PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
SOx,Emission,Emission,Excluded,#N/A,#N/A,#N/A,,,#N/A,Emissions,#N/A,#N/A,Emissions,Emissions,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Emissions,Emissions,Emissions,Emissions,#N/A,#N/A,#N/A,#N/A,SOx,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Fuel,Fuel,Fuel,Excluded,#N/A,#N/A,#N/A,,,#N/A,Fuel,#N/A,#N/A,Fuel,Fuel,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Fuel,Fuel,Fuel,Fuel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Line,Line,Line,Excluded,#N/A,#N/A,#N/A,,,#N/A,Line,#N/A,#N/A,Line,Line,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Line,Line,Line,Line,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Node,Node,Node,Excluded,#N/A,#N/A,#N/A,,,#N/A,Node,#N/A,#N/A,Node,Node,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Node,Node,Node,Node,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Region,Region,Region,Excluded,#N/A,#N/A,#N/A,,,#N/A,Region,#N/A,#N/A,Region,Region,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Region,Region,Region,Region,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Zone,Zone,Zone,Excluded,#N/A,#N/A,#N/A,,,#N/A,Zone,#N/A,#N/A,Zone,Zone,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Zone,Zone,Zone,Zone,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Area,Area,Area,Excluded,#N/A,#N/A,#N/A,,,#N/A,Area,#N/A,#N/A,Area,Area,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Area,Area,Area,Area,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Reserve,Reserve,Reserve,Excluded,#N/A,#N/A,#N/A,,,#N/A,Reserve,#N/A,#N/A,Reserve,Reserve,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Reserve,Reserve,Reserve,Reserve,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Variable,Variable,Variable,Excluded,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
