PLEXOS technology,Mapping to new WEO technology,Mapping to DEA data,Mapping to WEO Capex,Mapping to APPFC techs,OpClassMSL,Mapping to NREL cost data,Fuel,PerformanceVar,PropertyClass,FUELsub,FUELsimp,VRE,InertiaLOW,InertiaHI,Category1,Category2,ValidationTech,FUELgas,Fuel4,Fuel5,VRE2,VRE3,PLN_Tech,CategoryWEO,FlexCategory,Reserves,QuickStart,Type,RegSplitCat,New,RegSplitCat
Gas CHP MaxMin,Gas_CCGT,OCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,CHP,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,No,Yes,Generator,Gas,N,Gas
Gas GT 1,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas GT 2,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas GT 3,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas GT 4,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas GT 5,Gas_GT,SCGT,Excluded,OCGT,OCGT,OCGT,Gas,1,Gas-OCGT,Gas-OCGT,Gas,Non-VRE,4,6,Gas,Gas,Thermal,OCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTG/MG,Gas_GT,Dispatchable,Yes,Yes,Generator,Gas,N,Gas
Gas Steam 1,Gas_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,Gas-steam,Gas,Non-VRE,4,6,Gas,Gas,Thermal,Thermal_gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas Steam 2,Gas_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,Gas-steam,Gas,Non-VRE,4,6,Gas,Gas,Thermal,Thermal_gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas Steam 3,Gas_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,Gas-steam,Gas,Non-VRE,4,6,Gas,Gas,Thermal,Thermal_gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas Steam 4,Gas_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,Gas-steam,Gas,Non-VRE,4,6,Gas,Gas,Thermal,Thermal_gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,N,Gas
Gas Steam 5,Gas_Steam,CCGT,Excluded,Steam turbine (Gas/Oil),Steam turbine (Gas/Oil),OCGT,Gas,1,Gas-steam,Gas-steam,Gas,Non-VRE,4,6,Gas,Gas,Thermal,Thermal_gas,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_steam,Dispatchable,Yes,No,Generator,Gas,N,Gas
Geothermal CHP,Geothermal_CHP,Geothermal - large,Excluded,Geothermal,Geothermal,Geothermal,Geothermal,1,Geothermal,Geothermal,Geothermal,Non-VRE,0,0,Geothermal,Geothermal,CHP,Geothermal,RES,Other,Non-VRE,Non-VRE,PLTP,Geothermal,Constrained,No,No,Generator,RES,Y,RES
Geothermal Elec,Geothermal,Geothermal - large,Excluded,Geothermal,Geothermal,Geothermal,Geothermal,1,Geothermal,Geothermal,Geothermal,Non-VRE,2,4,Geothermal,Geothermal,Thermal,Geothermal,RES,Other,Non-VRE,Non-VRE,PLTP,Geothermal,Constrained,Yes,No,Generator,RES,Y,RES
Hydro PSH,Hydro_PSH,Hydro pumped storage,Excluded,Hydro PSH,Hydro PSH,PSH,Hydro,1,Hydro,Hydro,Hydro,Non-VRE,2,4,PSH,Storage,PSH,Hydro,Hydro,Hydro,Non-VRE,Non-VRE,PS,Hydro,Pump,Yes,Yes,Generator,RES,Y,RES
Hydro Reservoir,Hydro_Reservoir,Large hydro power plant,Excluded,Hydro Reservoir,Hydro Reservoir,Hydro,Hydro,1,Hydro,Hydro,Hydro,Non-VRE,2,4,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,Non-VRE,Non-VRE,PLTAr,Hydro,Dispatchable,Yes,Yes,Generator,RES,Y,RES
Hydro RoR,Hydro_RoR,Mini-micro hydro power plant,Excluded,Hydro RoR,Hydro RoR,Hydro,Hydro,1,Hydro,Hydro,Hydro,Non-VRE,2,4,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,Non-VRE,Non-VRE,PLTM,Hydro,Constrained,Yes,No,Generator,RES,Y,RES
Hydro RoRpondage,Hydro_RoRpondage,Medium-small hydro power plant,Excluded,Hydro RoRpondage,Hydro RoRpondage,Hydro,Hydro,1,Hydro,Hydro,Hydro,Non-VRE,2,4,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,Non-VRE,Non-VRE,PLTAp,Hydro,Dispatchable,Yes,Yes,Generator,RES,Y,RES
NEW CCS CHP Coal,Coal_CCS,Coal subcritical,Excluded,Coal subcritical,Coal subcritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,CHP,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,No,No,Generator,Coal,Y,Coal
NEW CCS CHP Coal Retrofit,Coal_CCS,Coal subcritical,Excluded,Coal subcritical,Coal subcritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,CHP,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,No,No,Generator,Coal,Y,Coal
NEW CCS CHP Gas CCGT,Gas_CCGT_CCS,CCGT,Excluded,CCGT,CCGT,CCGT CCS,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Abated gas,CHP,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,No,No,Generator,Gas,Y,Gas
NEW CCS CHP Gas CCGT Retrofit,Gas_CCGT_CCS,CCGT,Excluded,CCGT,CCGT,CCGT CCS,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Abated gas,CHP,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,No,No,Generator,Gas,Y,Gas
NEW CCS Coal,Coal_CCS,CCS - Supercritical coal,Coal + CCS,Coal supercritical,Coal supercritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,Y,Coal
NEW CCS Coal CHP MaxMin,Coal_CCS,Coal supercritical,Excluded,Coal supercritical,Coal supercritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,CHP,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,No,No,Generator,Coal,Y,Coal
NEW CCS Coal CHP MaxMin Retrofit,Coal_CCS,Coal supercritical,Excluded,Coal supercritical,Coal supercritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,CHP,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,No,No,Generator,Coal,Y,Coal
NEW CCS Coal IGCC,Coal_IGCC_CCS,CCS - IGCC,IGCC + CCS,Coal supercritical,Coal supercritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,Y,Coal
NEW CCS Coal IGCC Retrofit,Coal_IGCC_CCS,CCS - IGCC,Excluded,Coal supercritical,Coal supercritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,Y,Coal
NEW CCS Coal Oxyfuel,Coal_CCS,CCS - Supercritical coal,Oxyfuel + CCS,Coal supercritical,Coal supercritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,Y,Coal
NEW CCS Coal Retrofit,Coal_CCS,CCS - Supercritical coal,Excluded,Coal supercritical,Coal supercritical,Coal CCS,Bituminous coal,1,Bituminous coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,Coal,Abated coal,Thermal,Coal,Thermal,Coal,Non-VRE,Non-VRE,PLTU,Coal_IGCC,Dispatchable,Yes,No,Generator,Coal,Y,Coal
NEW CCS Gas CCGT,Gas_CCGT_CCS,CCS - CCGT,CCGT + CCS,CCGT,CCGT,CCGT CCS,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Abated gas,Thermal,CCGT,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,Yes,No,Generator,Gas,Y,Gas
NEW CCS Gas CCGT CHP MaxMin,Gas_CCGT_CHP_CCS,CCGT,Excluded,CCGT,CCGT,CCGT CCS,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Abated gas,CHP,CHP,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,No,No,Generator,Gas,Y,Gas
NEW CCS Gas CCGT CHP MaxMin Retrofit,Gas_CCGT_CHP_CCS,CCGT,Excluded,CCGT,CCGT,CCGT CCS,Gas,1,Gas-CCGT,Gas-CCGT,Gas,Non-VRE,4,6,Gas,Abated gas,CHP,CHP,Thermal,Gas,Non-VRE,Non-VRE,PLTGU,Gas_CCGT,Dispatchable,No,No,Generator,Gas,Y,Gas
