Year,Month,Day,Period,Value
2023,1,15,6,12241.45941
2023,1,15,7,12523.74945
2023,1,15,8,12670.45136
2023,1,15,9,13194.28091
2023,1,15,10,14025.59173
2023,1,15,11,14739.09648
2023,1,15,12,15837.87897
2023,1,15,13,16164.62413
2023,1,15,14,16103.8688
2023,1,15,15,15938.64392
2023,1,15,16,15869.73848
2023,1,15,17,15826.76519
2023,1,15,18,15837.13805
2023,1,15,19,15999.39926
2023,1,15,20,16299.47134
2023,1,15,21,16487.6647
2023,1,15,22,16199.44731
2023,1,15,23,15912.71176
2023,1,15,24,15594.1167
2023,1,16,1,15159.93832
2023,1,16,2,14525.71188
2023,1,16,3,13865.55329
2023,1,16,4,13274.30013
2023,1,16,5,12810.485
2023,1,16,6,12611.91878
2023,1,16,7,12537.08599
2023,1,16,8,12613.40062
2023,1,16,9,12957.18691
2023,1,16,10,13612.15908
2023,1,16,11,14591.65365
2023,1,16,12,15514.09748
2023,1,16,13,15997.1765
2023,1,16,14,15926.0483
2023,1,16,15,15880.11134
2023,1,16,16,15796.38752
2023,1,16,17,15929.75289
2023,1,16,18,15839.36081
2023,1,16,19,15976.43077
2023,1,16,20,16606.95262
2023,1,16,21,16760.3228
2023,1,16,22,16411.35007
2023,1,16,23,16107.57339
2023,1,16,24,15726.74116
2023,1,17,1,15228.84377
2023,1,17,2,14602.02651
2023,1,17,3,14095.2381
2023,1,17,4,13303.93688
2023,1,17,5,13120.92995
2023,1,17,6,12879.39044
2023,1,17,7,12887.54055
2023,1,17,8,12879.39044
2023,1,17,9,13217.24939
2023,1,17,10,13514.3578
2023,1,17,11,14031.51908
2023,1,17,12,15011.01366
2023,1,17,13,15511.13381
2023,1,17,14,15579.29833
2023,1,17,15,15514.09748
2023,1,17,16,15407.40518
2023,1,17,17,15428.15091
2023,1,17,18,15466.67868
2023,1,17,19,15792.68293
2023,1,17,20,16366.89495
2023,1,17,21,16728.46329
2023,1,17,22,16455.8052
2023,1,17,23,16289.09848
2023,1,17,24,16029.036
2023,1,18,1,15477.79246
2023,1,18,2,14889.50298
2023,1,18,3,14201.18947
2023,1,18,4,13620.30918
2023,1,18,5,13288.37759
2023,1,18,6,13047.579
2023,1,18,7,13034.24246
2023,1,18,8,13117.22536
2023,1,18,9,13812.94806
2023,1,18,10,14873.20277
2023,1,18,11,15756.37791
2023,1,18,12,17089.29072
2023,1,18,13,17360.46698
2023,1,18,14,17347.87136
2023,1,18,15,17046.31743
2023,1,18,16,17052.24478
2023,1,18,17,17079.65878
2023,1,18,18,17010.01242
2023,1,18,19,17101.88634
2023,1,18,20,17429.37242
2023,1,18,21,17619.78854
2023,1,18,22,17283.41143
2023,1,18,23,16863.31051
2023,1,18,24,16735.87248
2023,1,19,1,16252.79346
2023,1,19,2,15519.28391
2023,1,19,3,14798.36998
2023,1,19,4,14228.60347
2023,1,19,5,13869.25788
2023,1,19,6,13654.39145
2023,1,19,7,13622.53194
2023,1,19,8,13796.64784
2023,1,19,9,14414.57407
2023,1,19,10,15306.64023
2023,1,19,11,16149.06484
2023,1,19,12,17171.5327
2023,1,19,13,17454.56366
2023,1,19,14,17149.30514
2023,1,19,15,16800.33241
2023,1,19,16,16658.81693
2023,1,19,17,16589.17057
2023,1,19,18,16610.65721
2023,1,19,19,16759.58188
2023,1,19,20,17233.76987
2023,1,19,21,17319.71645
